step,epoch,total_loss,ce_loss,phase_loss,mag_loss,lr,throughput
0,0,11.5207,11.4959,0.0638,0.2483,0.00e+00,0.00_samples/s
50,0,11.4461,11.4211,0.0651,0.2502,1.80e-06,6.64_samples/s
100,0,11.4108,11.3864,0.0720,0.2444,3.60e-06,7.04_samples/s
150,0,11.3552,11.3308,0.0733,0.2440,5.40e-06,7.04_samples/s
200,0,11.1952,11.1709,0.0755,0.2422,7.20e-06,7.01_samples/s
250,0,11.1337,11.1094,0.0755,0.2421,9.00e-06,6.95_samples/s
300,0,11.0086,10.9845,0.0751,0.2409,1.08e-05,6.93_samples/s
350,0,10.8487,10.8248,0.0820,0.2389,1.26e-05,6.93_samples/s
400,0,10.6961,10.6724,0.0805,0.2373,1.50e-05,6.92_samples/s
450,0,10.4935,10.4697,0.0737,0.2387,1.68e-05,6.91_samples/s
500,0,10.3715,10.3479,0.0738,0.2357,1.86e-05,6.90_samples/s
550,0,10.0121,9.9888,0.0774,0.2330,2.04e-05,6.87_samples/s
600,0,9.9812,9.9579,0.0770,0.2329,2.22e-05,6.83_samples/s
650,0,10.0746,10.0515,0.0751,0.2311,2.40e-05,6.81_samples/s
700,0,9.7905,9.7676,0.0738,0.2284,2.58e-05,6.75_samples/s
750,0,9.5974,9.5746,0.0684,0.2284,2.76e-05,6.69_samples/s
800,0,9.6561,9.6332,0.0639,0.2288,3.00e-05,6.65_samples/s
850,0,9.5387,9.5164,0.0666,0.2232,3.18e-05,6.60_samples/s
900,0,9.3689,9.3467,0.0622,0.2222,3.36e-05,6.56_samples/s
950,0,9.1756,9.1537,0.0633,0.2186,3.54e-05,6.51_samples/s
1000,0,9.3164,9.2941,0.0570,0.2232,3.72e-05,6.48_samples/s
1050,0,8.8076,8.7864,0.0636,0.2126,3.90e-05,6.42_samples/s
1100,0,8.8435,8.8227,0.0634,0.2081,4.08e-05,6.40_samples/s
1150,0,8.6827,8.6624,0.0620,0.2032,4.26e-05,6.37_samples/s
1200,0,8.4328,8.4125,0.0544,0.2030,4.50e-05,6.34_samples/s
1250,0,8.4687,8.4498,0.0594,0.1889,4.68e-05,6.32_samples/s
1300,0,8.2030,8.1840,0.0526,0.1897,4.86e-05,6.29_samples/s
1350,0,7.7450,7.7274,0.0562,0.1766,5.04e-05,6.26_samples/s
1400,0,7.7919,7.7750,0.0550,0.1686,5.22e-05,6.25_samples/s
1450,0,7.8030,7.7865,0.0514,0.1650,5.40e-05,6.22_samples/s
1500,0,7.4555,7.4397,0.0526,0.1587,5.58e-05,6.21_samples/s
1550,0,7.1714,7.1562,0.0511,0.1526,5.76e-05,6.19_samples/s
1600,0,7.1909,7.1759,0.0450,0.1496,6.00e-05,6.17_samples/s
1650,0,6.9845,6.9700,0.0457,0.1450,6.18e-05,6.15_samples/s
1700,0,7.0139,6.9995,0.0448,0.1439,6.36e-05,6.04_samples/s
1750,0,6.9565,6.9423,0.0455,0.1415,6.54e-05,6.01_samples/s
1800,0,6.9216,6.9077,0.0442,0.1397,6.72e-05,6.00_samples/s
1850,0,6.8566,6.8428,0.0438,0.1377,6.90e-05,5.99_samples/s
1900,0,6.7095,6.6959,0.0424,0.1364,7.08e-05,5.98_samples/s
1950,0,6.6007,6.5870,0.0406,0.1367,7.26e-05,5.97_samples/s
2000,0,6.9139,6.8999,0.0371,0.1402,7.50e-05,5.95_samples/s
2050,0,6.4717,6.4584,0.0422,0.1334,7.68e-05,5.94_samples/s
2100,0,6.5429,6.5296,0.0424,0.1327,7.86e-05,5.93_samples/s
2150,0,6.4379,6.4247,0.0423,0.1319,8.04e-05,5.92_samples/s
2200,0,6.6116,6.5985,0.0423,0.1307,8.22e-05,5.91_samples/s
2250,0,6.3708,6.3578,0.0433,0.1296,8.40e-05,5.81_samples/s
2300,0,6.5503,6.5375,0.0429,0.1288,8.58e-05,5.74_samples/s
2350,0,6.6431,6.6303,0.0420,0.1286,8.76e-05,5.71_samples/s
2400,0,6.4396,6.4271,0.0417,0.1252,9.00e-05,5.66_samples/s
2450,0,6.2549,6.2425,0.0405,0.1243,9.18e-05,5.62_samples/s
2500,0,6.1963,6.1840,0.0396,0.1227,9.36e-05,5.59_samples/s
2550,0,6.5136,6.5014,0.0386,0.1218,9.54e-05,5.56_samples/s
2600,0,6.5269,6.5150,0.0393,0.1195,9.72e-05,5.54_samples/s
2650,0,6.4268,6.4144,0.0357,0.1233,9.90e-05,5.52_samples/s
2700,0,6.2277,6.2159,0.0387,0.1176,1.01e-04,5.48_samples/s
2750,0,6.2025,6.1908,0.0393,0.1169,1.03e-04,5.42_samples/s
2800,0,6.2970,6.2848,0.0382,0.1219,1.05e-04,5.41_samples/s
2850,0,6.3882,6.3765,0.0406,0.1167,1.07e-04,5.42_samples/s
2900,0,6.2481,6.2366,0.0415,0.1154,1.09e-04,5.43_samples/s
2950,0,6.5487,6.5372,0.0412,0.1150,1.10e-04,5.43_samples/s
3000,0,6.4028,6.3913,0.0400,0.1150,1.12e-04,5.43_samples/s
3050,0,6.4151,6.4036,0.0389,0.1153,1.14e-04,5.43_samples/s
3100,0,6.2683,6.2565,0.0373,0.1171,1.16e-04,5.43_samples/s
3150,0,6.1603,6.1485,0.0360,0.1188,1.18e-04,5.43_samples/s
3200,0,6.1242,6.1128,0.0369,0.1134,1.20e-04,5.44_samples/s
3250,0,6.3343,6.3230,0.0357,0.1125,1.22e-04,5.44_samples/s
3300,0,6.3384,6.3273,0.0339,0.1120,1.24e-04,5.43_samples/s
3350,0,6.1401,6.1291,0.0331,0.1097,1.25e-04,5.43_samples/s
3400,0,6.1292,6.1182,0.0313,0.1092,1.27e-04,5.43_samples/s
3450,0,6.2323,6.2214,0.0295,0.1090,1.29e-04,5.43_samples/s
3500,0,6.3110,6.3002,0.0294,0.1081,1.31e-04,5.43_samples/s
3550,0,6.0645,6.0537,0.0294,0.1085,1.33e-04,5.43_samples/s
3600,0,6.3202,6.3094,0.0306,0.1074,1.35e-04,5.38_samples/s
3650,0,6.0986,6.0879,0.0309,0.1066,1.37e-04,5.35_samples/s
3700,0,6.2101,6.1995,0.0307,0.1062,1.39e-04,5.33_samples/s
3750,0,6.0869,6.0764,0.0295,0.1047,1.40e-04,5.31_samples/s
3800,0,6.1942,6.1835,0.0270,0.1065,1.42e-04,5.29_samples/s
3850,0,6.3598,6.3495,0.0273,0.1028,1.44e-04,5.27_samples/s
3900,0,6.1366,6.1261,0.0254,0.1046,1.46e-04,5.25_samples/s
3950,0,6.0608,6.0505,0.0256,0.1029,1.48e-04,5.24_samples/s
4000,0,6.1990,6.1883,0.0272,0.1072,1.50e-04,5.24_samples/s
4050,0,6.1461,6.1362,0.0289,0.0984,1.52e-04,5.22_samples/s
4100,0,6.2584,6.2480,0.0288,0.1042,1.54e-04,5.21_samples/s
4150,0,6.1071,6.0975,0.0308,0.0962,1.55e-04,5.19_samples/s
4200,0,6.3097,6.3002,0.0317,0.0944,1.57e-04,5.18_samples/s
4250,0,5.9416,5.9316,0.0322,0.1002,1.59e-04,5.17_samples/s
4300,0,5.9856,5.9762,0.0337,0.0944,1.61e-04,5.16_samples/s
4350,0,6.2367,6.2272,0.0335,0.0958,1.63e-04,5.15_samples/s
4400,0,6.4611,6.4516,0.0325,0.0947,1.65e-04,5.14_samples/s
4450,0,6.0403,6.0309,0.0318,0.0939,1.67e-04,5.13_samples/s
4500,0,6.1076,6.0979,0.0308,0.0963,1.69e-04,5.12_samples/s
4550,0,6.0038,5.9943,0.0309,0.0957,1.70e-04,5.12_samples/s
4600,0,5.9262,5.9168,0.0322,0.0945,1.72e-04,5.11_samples/s
4650,0,5.9716,5.9620,0.0323,0.0961,1.74e-04,5.10_samples/s
4700,0,6.2439,6.2341,0.0322,0.0978,1.76e-04,5.09_samples/s
4750,0,5.9891,5.9792,0.0333,0.0986,1.78e-04,5.09_samples/s
4800,0,6.0098,6.0002,0.0287,0.0957,1.80e-04,5.08_samples/s
4850,0,5.7641,5.7547,0.0269,0.0947,1.82e-04,5.08_samples/s
4900,0,5.8939,5.8848,0.0264,0.0909,1.84e-04,5.08_samples/s
4950,0,5.8448,5.8354,0.0282,0.0933,1.85e-04,5.09_samples/s
5000,0,5.7673,5.7574,0.0289,0.0984,1.87e-04,5.09_samples/s
5050,0,5.6590,5.6495,0.0303,0.0954,1.89e-04,5.09_samples/s
5100,0,5.8237,5.8143,0.0279,0.0934,1.91e-04,5.09_samples/s
5150,0,5.9844,5.9746,0.0276,0.0982,1.93e-04,5.09_samples/s
5200,0,5.6459,5.6350,0.0279,0.1087,1.95e-04,5.09_samples/s
5250,0,5.8314,5.8202,0.0287,0.1114,1.97e-04,5.09_samples/s
5300,0,5.8047,5.7935,0.0305,0.1123,1.99e-04,5.09_samples/s
5350,0,5.7283,5.7179,0.0348,0.1034,2.00e-04,5.09_samples/s
5400,0,5.6189,5.6084,0.0379,0.1047,2.02e-04,5.08_samples/s
5450,0,5.4566,5.4459,0.0388,0.1064,2.04e-04,5.09_samples/s
5500,0,5.7045,5.6939,0.0383,0.1063,2.06e-04,5.08_samples/s
5550,0,5.8154,5.8034,0.0378,0.1198,2.08e-04,5.08_samples/s
5600,0,5.4954,5.4838,0.0367,0.1162,2.10e-04,5.08_samples/s
5650,0,5.5483,5.5357,0.0363,0.1263,2.12e-04,5.07_samples/s
5700,0,5.6528,5.6404,0.0368,0.1231,2.14e-04,5.08_samples/s
5750,0,5.0687,5.0561,0.0399,0.1259,2.15e-04,5.09_samples/s
5800,0,5.4331,5.4214,0.0376,0.1175,2.17e-04,5.10_samples/s
5850,0,5.3368,5.3238,0.0384,0.1298,2.19e-04,5.08_samples/s
5900,0,5.1928,5.1809,0.0401,0.1188,2.21e-04,5.07_samples/s
5950,0,5.2527,5.2400,0.0426,0.1273,2.23e-04,5.07_samples/s
6000,0,5.4837,5.4711,0.0418,0.1254,2.25e-04,5.07_samples/s
6050,0,5.0548,5.0404,0.0423,0.1446,2.27e-04,5.06_samples/s
6100,0,5.3415,5.3277,0.0430,0.1382,2.29e-04,5.06_samples/s
6150,0,5.3327,5.3192,0.0403,0.1348,2.30e-04,5.06_samples/s
6200,0,5.3048,5.2904,0.0414,0.1442,2.32e-04,5.06_samples/s
6250,0,5.2124,5.1973,0.0415,0.1511,2.34e-04,5.06_samples/s
6300,0,5.0314,5.0155,0.0428,0.1589,2.36e-04,5.06_samples/s
6350,0,5.1046,5.0904,0.0380,0.1419,2.38e-04,5.06_samples/s
6400,0,4.7775,4.7642,0.0380,0.1326,2.40e-04,5.05_samples/s
6450,0,4.7738,4.7595,0.0404,0.1429,2.42e-04,5.05_samples/s
6500,0,4.7553,4.7391,0.0434,0.1620,2.44e-04,5.05_samples/s
6550,0,4.9508,4.9371,0.0431,0.1375,2.45e-04,5.05_samples/s
6600,0,4.7995,4.7856,0.0425,0.1398,2.47e-04,5.05_samples/s
6650,0,4.4325,4.4176,0.0457,0.1492,2.49e-04,5.05_samples/s
6700,0,4.7692,4.7541,0.0425,0.1506,2.51e-04,5.04_samples/s
6750,0,4.7392,4.7246,0.0458,0.1456,2.53e-04,5.05_samples/s
6800,0,4.7904,4.7728,0.0452,0.1762,2.55e-04,5.04_samples/s
6850,0,4.3413,4.3281,0.0418,0.1325,2.57e-04,5.04_samples/s
6900,0,4.5211,4.5066,0.0426,0.1458,2.59e-04,5.04_samples/s
6950,0,4.3693,4.3561,0.0422,0.1321,2.60e-04,5.04_samples/s
7000,0,4.4820,4.4675,0.0437,0.1454,2.62e-04,5.04_samples/s
7050,0,4.6269,4.6132,0.0433,0.1376,2.64e-04,5.04_samples/s
7100,0,4.3836,4.3698,0.0436,0.1384,2.66e-04,5.04_samples/s
7150,0,4.0931,4.0792,0.0439,0.1383,2.68e-04,5.04_samples/s
7200,0,4.2443,4.2309,0.0417,0.1341,2.70e-04,5.04_samples/s
7250,0,4.3998,4.3861,0.0445,0.1368,2.72e-04,5.04_samples/s
7300,0,4.1503,4.1366,0.0463,0.1375,2.74e-04,5.04_samples/s
7350,0,4.1205,4.1065,0.0436,0.1405,2.75e-04,5.04_samples/s
7400,0,4.2975,4.2795,0.0454,0.1795,2.77e-04,5.05_samples/s
7450,0,4.5840,4.5689,0.0439,0.1506,2.79e-04,5.05_samples/s
7500,0,4.4681,4.4527,0.0448,0.1537,2.81e-04,5.05_samples/s
7550,0,4.4196,4.4048,0.0454,0.1476,2.83e-04,5.05_samples/s
7600,0,4.2584,4.2412,0.0459,0.1729,2.85e-04,5.02_samples/s
7650,0,4.1356,4.1211,0.0446,0.1455,2.87e-04,5.02_samples/s
7700,0,3.8058,3.7930,0.0444,0.1279,2.89e-04,5.03_samples/s
7750,0,4.0186,4.0042,0.0440,0.1437,2.90e-04,5.01_samples/s
7800,0,4.1619,4.1431,0.0471,0.1880,2.92e-04,4.98_samples/s
7850,0,4.0473,4.0333,0.0448,0.1393,2.94e-04,4.95_samples/s
7900,0,4.1333,4.1195,0.0443,0.1386,2.96e-04,4.93_samples/s
7950,0,3.9200,3.9043,0.0447,0.1577,2.98e-04,4.91_samples/s
8000,0,4.0724,4.0598,0.0430,0.1259,3.00e-04,4.88_samples/s
8050,0,3.8682,3.8546,0.0442,0.1367,3.00e-04,4.86_samples/s
8100,0,3.8826,3.8680,0.0461,0.1468,3.00e-04,4.84_samples/s
8150,0,4.0609,4.0465,0.0464,0.1433,3.00e-04,4.84_samples/s
8200,0,3.7263,3.7099,0.0472,0.1639,3.00e-04,4.85_samples/s
8250,0,3.6762,3.6640,0.0432,0.1216,3.00e-04,4.85_samples/s
8300,0,3.7794,3.7658,0.0458,0.1360,2.99e-04,4.85_samples/s
8350,0,3.8234,3.8069,0.0459,0.1650,2.99e-04,4.85_samples/s
8400,0,3.7841,3.7707,0.0440,0.1341,2.99e-04,4.85_samples/s
8450,0,3.6471,3.6330,0.0456,0.1408,2.99e-04,4.86_samples/s
8500,0,3.7715,3.7543,0.0472,0.1717,2.99e-04,4.86_samples/s
8550,0,3.7063,3.6909,0.0433,0.1532,2.99e-04,4.86_samples/s
8600,0,3.6796,3.6600,0.0472,0.1956,2.99e-04,4.86_samples/s
8650,0,3.9214,3.9088,0.0410,0.1268,2.99e-04,4.86_samples/s
8700,0,3.6113,3.5949,0.0457,0.1649,2.99e-04,4.87_samples/s
8750,0,3.7839,3.7679,0.0445,0.1596,2.99e-04,4.87_samples/s
8800,0,3.8903,3.8766,0.0438,0.1366,2.98e-04,4.87_samples/s
8850,0,3.6169,3.6033,0.0426,0.1356,2.98e-04,4.87_samples/s
8900,0,3.6135,3.6017,0.0418,0.1184,2.98e-04,4.87_samples/s
8950,0,3.4634,3.4468,0.0467,0.1661,2.98e-04,4.88_samples/s
9000,0,3.5792,3.5620,0.0464,0.1725,2.98e-04,4.88_samples/s
9050,0,3.3739,3.3602,0.0429,0.1366,2.98e-04,4.88_samples/s
9100,0,3.7600,3.7459,0.0442,0.1409,2.98e-04,4.88_samples/s
9150,0,3.4983,3.4839,0.0449,0.1440,2.98e-04,4.88_samples/s
9200,0,3.5346,3.5196,0.0479,0.1500,2.98e-04,4.88_samples/s
9250,0,3.3654,3.3526,0.0445,0.1276,2.98e-04,4.89_samples/s
9300,0,3.3898,3.3776,0.0433,0.1219,2.97e-04,4.89_samples/s
9350,0,3.0860,3.0739,0.0432,0.1213,2.97e-04,4.89_samples/s
9400,0,3.3756,3.3635,0.0437,0.1213,2.97e-04,4.89_samples/s
9450,0,3.4185,3.4007,0.0485,0.1776,2.97e-04,4.89_samples/s
9500,0,3.4055,3.3941,0.0428,0.1136,2.97e-04,4.89_samples/s
9550,0,3.6329,3.6213,0.0446,0.1165,2.97e-04,4.89_samples/s
9600,0,3.1862,3.1732,0.0450,0.1304,2.97e-04,4.89_samples/s
9650,0,3.2042,3.1864,0.0468,0.1783,2.97e-04,4.89_samples/s
9700,0,3.1621,3.1509,0.0416,0.1117,2.97e-04,4.89_samples/s
9750,0,3.1955,3.1825,0.0450,0.1301,2.97e-04,4.89_samples/s
9800,0,3.2612,3.2437,0.0483,0.1745,2.96e-04,4.89_samples/s
9850,0,3.2839,3.2659,0.0486,0.1795,2.96e-04,4.89_samples/s
9900,0,3.1675,3.1535,0.0482,0.1393,2.96e-04,4.89_samples/s
9950,0,3.1103,3.0983,0.0436,0.1201,2.96e-04,4.88_samples/s
